id,picture_id,name,now_cost,position,team,expected_goals_conceded,corners_and_indirect_freekicks_order,selected_rank_type,points_per_game_rank_type,minutes,points_per_game,expected_goals_conceded_per_90,value_season,ep_next,starts,chance_of_playing_this_round,form_rank,form,expected_goal_involvements,own_goals,saves_per_90,assists,expected_assists_per_90,goals_conceded,bonus,yellow_cards,influence_rank,creativity_rank,expected_goals,chance_of_playing_next_round,penalties_missed,event_points,web_name,penalties_order,value_form,transfers_in,in_dreamteam,now_cost_rank,ep_this,selected_rank,goals_scored,ict_index_rank,transfers_in_event,ict_index,transfers_out_event,cost_change_start_fall,transfers_out,expected_goals_per_90,creativity_rank_type,influence,now_cost_rank_type,threat,news,penalties_saved,threat_rank,clean_sheets_per_90,dreamteam_count,clean_sheets,starts_per_90,cost_change_event_fall,status,selected_by_percent,total_points,form_rank_type,saves,bps,cost_change_event,expected_goal_involvements_per_90,goals_conceded_per_90,expected_assists,ict_index_rank_type,points_per_game_rank,direct_freekicks_order,news_added,cost_change_start,red_cards,creativity,threat_rank_type,influence_rank_type
292,p535928,Stefan Bajcetic,47,MID,Liverpool,0.00,,215,288,0,0.0,0.0,0.0,0.0,0,0.0,648,0.0,0.00,0,0.0,0,0.0,0,0,0,686,684,0.00,0.0,0,0,Bajcetic,,0.0,986,FALSE,334,0.0,576,0,689,8,0.0,56,3,4705,0.0,286,0.0,218,0.0,Calf injury - Unknown return date,0,677,0.0,0,0,0.0,0,i,0.0,0,260,0,0,0,0.0,0.0,0.00,287,691,,2023-09-29T10:30:08.978098Z,-3,0,0.0,281,285
293,p447203,Darwin Núñez Ribeiro,75,FWD,Liverpool,7.65,,4,5,596,4.9,1.16,7.2,5.2,6,,27,5.7,6.11,0,0.0,6,0.14,4,4,1,53,113,5.15,,0,5,Darwin,3.0,0.8,1842188,FALSE,21,6.2,18,4,25,60706,73.5,42447,0,1606836,0.78,12,247.4,7,373.0,,0,12,0.45,1,3,0.91,0,a,16.5,54,5,0,170,0,0.92,0.6,0.96,7,25,,,0,0,113.2,6,7
294,p194634,Diogo Teixeira da Silva,77,MID,Liverpool,6.59,,39,36,579,3.9,1.02,5.6,5.2,7,100.0,29,5.7,3.40,0,0.0,2,0.09,4,2,1,119,77,2.80,100.0,0,8,Diogo J.,,0.7,305242,FALSE,18,6.2,131,4,40,18457,63.8,5337,3,417206,0.44,57,182.0,11,313.0,,0,21,0.47,1,3,1.09,0,a,2.0,43,14,0,131,0,0.53,0.62,0.60,29,71,,2023-09-30T23:00:08.714780Z,-3,1,144.3,13,48
295,p444884,Harvey Elliott,48,MID,Liverpool,3.55,,102,140,254,1.5,1.26,3.1,1.5,1,,156,2.0,1.37,0,0.0,2,0.37,2,0,1,309,164,0.32,,0,1,Elliott,,0.4,13201,FALSE,305,2.5,341,0,269,379,17.2,642,2,21537,0.11,106,46.6,200,48.0,,0,202,0.0,0,0,0.35,0,a,0.2,15,67,0,62,0,0.48,0.71,1.05,124,305,,,-2,0,78.2,111,134
296,p116643,Fabio Henrique Tavares,50,MID,Liverpool,0.00,,282,305,0,0.0,0.0,0.0,0.0,0,0.0,682,0.0,0.00,0,0.0,0,0.0,0,0,0,714,711,0.00,0.0,0,0,Fabinho,,0.0,0,FALSE,176,0.0,686,0,714,0,0.0,4,0,1080,0.0,304,0.0,108,0.0,Permanent Transfer to Al-Ittihad,0,708,0.0,0,0,0.0,0,u,0.0,0,287,0,0,0,0.0,0.0,0.00,305,714,,2023-08-01T09:50:49.848998Z,0,0,0.0,303,305
297,p243298,Cody Gakpo,72,FWD,Liverpool,6.32,,21,28,456,2.4,1.25,3.3,0.8,6,100.0,238,1.3,2.92,0,0.0,0,0.05,6,3,0,228,219,2.67,100.0,0,2,Gakpo,,0.2,142223,FALSE,27,1.8,126,2,163,3323,30.9,5078,3,566191,0.53,35,100.8,11,158.0,,0,63,0.2,0,1,1.18,0,a,2.2,24,27,0,82,0,0.58,1.18,0.25,29,202,,2023-10-01T02:00:08.267715Z,-3,0,53.8,24,25
298,p171287,Joe Gomez,45,DEF,Liverpool,6.96,,89,70,499,2.3,1.26,5.1,1.7,5,,118,2.7,0.61,0,0.0,0,0.02,3,1,1,232,132,0.48,75.0,0,0,Gomez,,0.6,48974,FALSE,372,3.2,235,0,220,732,22.6,3515,0,43288,0.09,26,98.8,65,30.0,Knock - 75% chance of playing,0,255,0.36,0,2,0.9,0,d,0.5,23,36,0,104,0,0.11,0.54,0.13,65,205,,2023-11-13T01:00:09.440163Z,0,0,96.4,78,95
299,p56979,Jordan Henderson,50,MID,Liverpool,0.00,,286,303,0,0.0,0.0,0.0,0.0,0,0.0,678,0.0,0.00,0,0.0,0,0.0,0,0,0,710,706,0.00,0.0,0,0,Henderson,,0.0,0,FALSE,168,0.0,696,0,710,0,0.0,2,0,785,0.0,301,0.0,104,0.0,Permanent transfer to Al-Ettifaq,0,703,0.0,0,0,0.0,0,u,0.0,0,285,0,0,0,0.0,0.0,0.00,303,710,,2023-07-28T08:28:45.116062Z,0,0,0.0,300,303
300,p206915,Curtis Jones,49,MID,Liverpool,6.68,,177,204,278,1.0,2.16,1.0,-0.2,4,0.0,671,0.0,0.19,0,0.0,0,0.03,4,0,1,340,331,0.11,50.0,0,0,Jones,,0.0,3049,FALSE,248,0.0,512,0,365,12,6.7,174,1,12346,0.04,173,34.0,159,20.0,Hamstring injury - 50% chance of playing,0,292,0.32,0,1,1.29,0,d,0.0,5,279,0,29,0,0.07,1.29,0.08,167,420,,2023-11-05T22:00:08.905000Z,-1,1,17.6,150,148
301,p200720,Caoimhin Kelleher,39,GKP,Liverpool,0.00,,37,38,0,0.0,0.0,0.0,-0.5,0,,375,0.0,0.00,0,0.0,0,0.0,0,0,0,467,450,0.00,,0,0,Kelleher,,0.0,9997,FALSE,726,0.5,280,0,473,674,0.0,454,1,11699,0.0,21,0.0,79,0.0,,0,425,0.0,0,0,0.0,0,a,0.3,0,36,0,0,0,0.0,0.0,0.00,38,478,,,-1,0,0.0,14,38
302,p204716,Ibrahima Konaté,49,DEF,Liverpool,5.85,,57,63,467,2.5,1.13,4.1,1.7,5,100.0,124,2.7,0.15,0,0.0,0,0.02,5,0,1,201,271,0.07,75.0,0,0,Konaté,,0.6,186621,FALSE,246,3.2,136,0,275,3169,16.3,14077,1,209351,0.01,84,114.2,31,12.0,Muscle injury - 75% chance of playing,0,338,0.39,0,2,0.96,0,d,1.7,20,40,0,107,0,0.03,0.96,0.08,92,187,,2023-11-13T01:00:09.473296Z,-1,0,36.7,117,81
